Date,Price,Volume,Hashrate
12/4/2010,0.240582561,6620.015663,
12/5/2010,0.211903487,1210.94427,
12/6/2010,0.198891623,871.8912784,
12/7/2010,0.20906,5332.639247,
12/8/2010,0.230834487,789.0771143,
12/9/2010,0.205413254,4405.123781,
12/10/2010,0.193684599,328.7495588,
12/11/2010,0.220089918,1267.311192,
12/12/2010,0.216962421,420.6841448,
12/13/2010,0.220406326,1415.61845,
12/14/2010,0.228455635,2390.555941,
12/15/2010,0.241676706,899.9428006,
12/16/2010,0.239433429,3500.870624,
12/17/2010,0.24575,129.881806,
12/18/2010,0.246809583,41.66991727,
12/19/2010,0.24494,486.6464309,
12/20/2010,0.255333392,2767.512457,
12/21/2010,0.258175608,2315.85108,
12/22/2010,0.248333333,949.395772,
12/23/2010,0.248364136,2160.86407,
12/24/2010,0.249031131,1253.689279,
12/25/2010,0.249020833,175.1347632,
12/26/2010,0.255321774,4261.249957,
12/27/2010,0.25761375,1271.579323,
12/28/2010,0.269986881,4229.663739,
12/29/2010,0.289799326,5427.609228,
12/30/2010,0.29525,759.917027,
12/31/2010,0.297021061,428.7672017,
1/1/2011,0.296797143,842.4250248,
1/2/2011,0.296844111,1582.249162,
1/3/2011,0.293518286,420.7905594,
1/4/2011,0.294909333,548.5611591,
1/5/2011,0.295644583,106.1465446,
1/6/2011,0.297093939,1031.393335,
1/7/2011,0.313282329,13145.67202,
1/8/2011,0.315294815,512.943818,
1/9/2011,0.322948571,546.1842181,
1/10/2011,0.3258617,3357.37697,
1/11/2011,0.325951455,1580.158623,
1/12/2011,0.332628182,10536.19362,
1/13/2011,0.367495003,7187.141448,
1/14/2011,0.374282449,10606.03968,
1/15/2011,0.3918655,593.6926434,
1/16/2011,0.393679111,1085.443308,
1/17/2011,0.379065667,6425.299836,
1/18/2011,0.334208257,4959.809937,
1/19/2011,0.31126621,2253.578285,
1/20/2011,0.341614831,6957.579006,
1/21/2011,0.392093122,3363.956578,
1/22/2011,0.420443345,4510.430447,
1/23/2011,0.437078367,503.5915032,
1/24/2011,0.410201719,4508.801626,
1/25/2011,0.416309471,897.5250152,
1/26/2011,0.409959475,6325.776881,
1/27/2011,0.414832219,11986.40244,
1/28/2011,0.431728095,2303.028485,
1/29/2011,0.4410525,643.6290277,
1/30/2011,0.463157295,4787.37582,
1/31/2011,0.502156346,34298.48718,
2/1/2011,0.676389111,23460.85263,
2/2/2011,0.726566878,4124.507006,
2/3/2011,0.71354079,6043.19246,
2/4/2011,0.772230316,33563.52696,
2/5/2011,0.876256806,13765.29786,
2/6/2011,0.895176513,7620.29755,
2/7/2011,0.872726934,1957.767856,
2/8/2011,0.893953927,6292.151041,
2/9/2011,0.929917167,47317.94568,
2/10/2011,1.033409755,25855.30672,
2/11/2011,0.981385992,13263.0105,
2/12/2011,1.039721643,4324.061466,
2/13/2011,1.044895845,3394.633886,
2/14/2011,1.059228428,7535.130691,
2/15/2011,1.050393362,9104.407501,
2/16/2011,1.040016152,7469.930636,
2/17/2011,1.046120299,4184.708199,
2/18/2011,0.999096404,33061.85301,
2/19/2011,0.932103183,3476.892423,
2/20/2011,0.86850999,8573.971615,
2/21/2011,0.850692969,1435.992606,
2/22/2011,0.863103984,10599.108,
2/23/2011,0.906506159,6060.97895,
2/24/2011,0.946226624,12760.34166,
2/25/2011,0.967492822,4300.057095,
2/26/2011,0.942570032,4446.885973,
2/27/2011,0.938741647,21627.51442,
2/28/2011,0.894442653,4105.897198,
3/1/2011,0.920692828,21390.90253,
3/2/2011,0.923957689,2533.949387,
3/3/2011,0.930466805,2527.924531,
3/4/2011,0.914785088,2469.788857,
3/5/2011,0.90636584,11135.34199,
3/6/2011,0.847645137,10784.4853,
3/7/2011,0.874441395,13494.09165,
3/8/2011,0.872339374,3943.657952,
3/9/2011,0.859649085,3890.57327,
3/10/2011,0.866459253,7893.405199,
3/11/2011,0.895063489,3306.306011,
3/12/2011,0.899233705,4325.817431,
3/13/2011,0.901979236,595.8960482,
3/14/2011,0.890197521,4676.197438,
3/15/2011,0.883136853,2408.57838,
3/16/2011,0.861111015,6766.664011,
3/17/2011,0.839926174,6036.473423,
3/18/2011,0.809374099,11156.66515,
3/19/2011,0.761975096,7473.520207,
3/20/2011,0.770942165,4474.647985,
3/21/2011,0.753175369,2785.893693,
3/22/2011,0.778873788,9501.940422,
3/23/2011,0.832447974,11021.48402,
3/24/2011,0.854579194,12241.8613,
3/25/2011,0.877179635,4226.763509,
3/26/2011,0.868289644,10260.96695,
3/27/2011,0.845921389,4465.90327,
3/28/2011,0.807469054,10149.26425,
3/29/2011,0.788861263,3313.091377,
3/30/2011,0.786923273,2533.758586,
3/31/2011,0.789264499,5431.884537,
4/1/2011,0.781967939,2486.495397,
4/2/2011,0.787505305,1967.111822,
4/3/2011,0.782296836,3073.296044,
4/4/2011,0.694327223,21449.87459,
4/5/2011,0.658011999,6530.658483,
4/6/2011,0.7164764,6268.562422,
4/7/2011,0.753936007,8184.36042,
4/8/2011,0.765372637,13907.67219,
4/9/2011,0.748221922,8961.021564,
4/10/2011,0.74167989,3939.387148,
4/11/2011,0.760195439,11250.55255,
4/12/2011,0.840142363,41212.9777,
4/13/2011,0.918875087,40711.77546,
4/14/2011,0.934583571,29840.66816,
4/15/2011,1.013028236,50805.84958,
4/16/2011,1.030256982,29994.45227,
4/17/2011,1.048529047,26109.9965,
4/18/2011,1.146684176,31597.78091,
4/19/2011,1.174745391,14777.48082,
4/20/2011,1.165174456,24860.26994,
4/21/2011,1.166175585,46305.78349,
4/22/2011,1.272912511,50736.56065,
4/23/2011,1.467515246,102569.9016,
4/24/2011,1.680695513,36295.88619,
4/25/2011,1.59241939,21304.39234,
4/26/2011,1.635166283,40107.44336,
4/27/2011,1.854280214,62132.03866,
4/28/2011,1.999249483,202971.2685,
4/29/2011,2.484913218,148932.5835,
4/30/2011,3.139921444,214150.4806,
5/1/2011,3.327733034,143730.896,
5/2/2011,3.188332166,59505.80491,
5/3/2011,3.28514839,56163.70689,
5/4/2011,3.396291592,59417.27442,
5/5/2011,3.410346332,52309.63757,
5/6/2011,3.474853769,79764.9881,
5/7/2011,3.56078577,64226.92504,
5/8/2011,3.75456206,79443.099,
5/9/2011,3.809524112,43853.28038,
5/10/2011,4.65935952,266915.4839,
5/11/2011,5.592424538,282495.6312,
5/12/2011,5.6341171,184844.339,
5/13/2011,7.45550181,478189.8519,
5/14/2011,8.238347197,437438.7473,
5/15/2011,6.678797158,122994.7664,
5/16/2011,7.684024907,342653.9711,
5/17/2011,7.614168482,266623.4435,
5/18/2011,7.14547465,180955.6533,
5/19/2011,6.968028241,169777.2361,
5/20/2011,6.625223737,280575.2236,
5/21/2011,5.877406205,185062.5164,
5/22/2011,6.359361831,154116.3639,
5/23/2011,7.067517273,250637.4928,
5/24/2011,7.081739991,211193.2242,
5/25/2011,7.405842596,510343.8087,
5/26/2011,8.509041477,244678.0675,
5/27/2011,8.686804025,125225.4378,
5/28/2011,8.453705448,103454.3655,
5/29/2011,8.277721417,62091.86053,
5/30/2011,8.579893275,153931.8857,
5/31/2011,8.882081721,407018.515,
6/1/2011,9.028280221,399838.6728,
6/2/2011,10.03512803,414923.0296,
6/3/2011,12.69009804,954718.9017,
6/4/2011,16.22997218,728206.0967,
6/5/2011,17.44555166,420792.6031,
6/6/2011,18.25516332,1013739.93,
6/7/2011,19.02670106,1071048.986,
6/8/2011,27.2782783,2870239,
6/9/2011,29.53580444,1860621.924,
6/10/2011,26.53310485,2287155.011,
6/11/2011,19.88369362,2178733.506,
6/12/2011,16.62557916,2454985.756,
6/13/2011,20.86007857,1483677.757,
6/14/2011,19.19453781,715137.1355,
6/15/2011,19.70745193,545253.378,
6/16/2011,19.26662503,929293.8767,
6/17/2011,15.74630986,1687539.553,
6/18/2011,15.86180519,570132.3774,
6/19/2011,17.67926174,537041.7638,
6/20/2011,14,14,
6/21/2011,0,0,
6/22/2011,0,0,
6/23/2011,17.49,17.49,
6/24/2011,0,0,
6/25/2011,0,0,
6/26/2011,17.51001,35.02002,
6/27/2011,0,0,
6/28/2011,0,0,
6/29/2011,0,0,
6/30/2011,0,0,
7/1/2011,0,0,
7/2/2011,0,0,
7/3/2011,0,0,
7/4/2011,0,0,
7/5/2011,12.82125,82.5225,
7/6/2011,14.74666667,270.5355,
7/7/2011,14.20841667,502.91265,
7/8/2011,14.39472222,567.4799167,
7/9/2011,14.495,47.83,
7/10/2011,15.02159259,582.1790167,
7/11/2011,14.01666667,634.9155,
7/12/2011,13.925,33.095,
7/13/2011,13.92,55.68,
7/14/2011,14.02528571,243.2257143,
7/15/2011,14.31625,1346.352667,
7/16/2011,13.5,14.85,
7/17/2011,13.45555556,412.885,
7/18/2011,13.24463063,2553.221824,
7/19/2011,13.64428571,808.9025,
7/20/2011,13.69166667,432.178,
7/21/2011,13.83825,527.54125,
7/22/2011,13.785,1318.09425,
7/23/2011,13.66,252.69,
7/24/2011,13.794625,1718.247933,
7/25/2011,14.098275,1127.578887,
7/26/2011,14.08665952,2644.890333,
7/27/2011,13.96869444,1132.505222,
7/28/2011,13.69520238,1703.244732,
7/29/2011,13.5703125,823.616,
7/30/2011,13.66655128,2472.497967,
7/31/2011,13.44989501,2324.958346,
8/1/2011,13.23388049,2031.44631,
8/2/2011,12.6630778,1485.784731,
8/3/2011,10.67179279,2389.785096,
8/4/2011,10.7339669,1098.3288,
8/5/2011,10.67123079,2357.403155,
8/6/2011,8.901246341,3103.981968,
8/7/2011,8.076347899,486.392217,
8/8/2011,8.000870574,972.8726113,
8/9/2011,9.622802988,1903.424368,
8/10/2011,10.08422841,1009.716476,
8/11/2011,9.801588546,2008.530092,
8/12/2011,9.385122078,2007.854624,
8/13/2011,9.697740889,1995.377444,
8/14/2011,10.41681016,1467.153306,
8/15/2011,11.20905799,2037.811575,
8/16/2011,11.04607494,1037.267785,
8/17/2011,10.93705283,1221.612557,
8/18/2011,10.93160831,1447.196727,
8/19/2011,11.31643344,2384.427817,
8/20/2011,11.47744349,2456.930926,
8/21/2011,11.36246682,3252.410297,
8/22/2011,11.11381213,1969.474925,
8/23/2011,11.02383994,4014.915163,
8/24/2011,10.92659306,2296.213383,
8/25/2011,10.27045976,3276.215104,
8/26/2011,9.161104033,4690.545158,
8/27/2011,8.667814033,2714.453488,
8/28/2011,8.822662087,2298.762923,
8/29/2011,8.933771939,2596.193752,
8/30/2011,8.826253993,2274.313861,
8/31/2011,8.458968755,2549.560471,
9/1/2011,8.22793019,669.894559,
9/2/2011,8.440563981,1199.37638,
9/3/2011,8.539424475,747.3078793,
9/4/2011,8.241066949,1878.345774,
9/5/2011,7.672442123,1622.47632,
9/6/2011,6.807191919,2254.704805,
9/7/2011,7.067037281,1031.581176,
9/8/2011,6.867451815,1467.176146,
9/9/2011,5.321509804,1227.915794,
9/10/2011,5.107361914,924.3873773,
9/11/2011,5.774656198,2482.805177,
9/12/2011,6.075496958,1039.202918,
9/13/2011,5.883688999,543.9332551,
9/14/2011,5.637680912,847.7565381,
9/15/2011,5.186694444,1907.661827,
9/16/2011,4.874842222,1776.424021,
9/17/2011,4.935550416,1204.87821,
9/18/2011,4.989631614,1347.109419,
9/19/2011,5.242857019,2102.020007,
9/20/2011,5.865536736,2710.378633,
9/21/2011,5.672959851,1041.043244,
9/22/2011,5.556197819,925.6828749,
9/23/2011,5.579260136,871.7770183,
9/24/2011,5.571911328,1663.540434,
9/25/2011,5.509452381,1234.685722,
9/26/2011,5.198463577,1103.189018,
9/27/2011,4.917769392,826.9739929,
9/28/2011,4.86007021,1471.252177,
9/29/2011,4.769446324,587.7962121,
9/30/2011,5.030566093,1956.664436,
10/1/2011,4.992814992,769.4043554,
10/2/2011,4.987695971,42.26966345,
10/3/2011,4.952008013,743.8044057,
10/4/2011,4.959378047,1807.733387,
10/5/2011,4.943513854,2279.051923,
10/6/2011,4.793614806,3103.062321,
10/7/2011,4.485731838,1967.236914,
10/8/2011,4.098792046,1623.524629,
10/9/2011,4.137416667,1039.400665,
10/10/2011,4.110456408,1479.654921,
10/11/2011,4.072109835,1404.532129,
10/12/2011,4.001036607,1655.24464,
10/13/2011,4.089974323,1932.211425,
10/14/2011,4.036241497,1678.228245,
10/15/2011,3.932713415,1139.725705,
10/16/2011,3.729644687,1608.219178,
10/17/2011,3.117288725,1069.635371,
10/18/2011,2.608861582,2594.538967,
10/19/2011,2.386861244,135.7047524,
10/20/2011,2.312981659,1263.129269,
10/21/2011,2.588274838,1177.957483,
10/22/2011,3.004431635,1264.859155,
10/23/2011,3.092168421,871.0247457,
10/24/2011,2.898791961,1672.515988,
10/25/2011,2.765676708,1097.253905,
10/26/2011,2.724955603,1965.311953,
10/27/2011,2.879816667,3174.828254,
10/28/2011,3.140924483,3020.581594,
10/29/2011,3.631578231,2012.558675,
10/30/2011,3.416665878,1601.838052,
10/31/2011,3.194821849,1706.291088,
11/1/2011,3.183366045,3178.442102,
11/2/2011,3.237317683,1353.661437,
11/3/2011,3.242568692,2058.460953,
11/4/2011,3.232457912,1459.093235,
11/5/2011,3.035973389,2076.038334,
11/6/2011,2.962619658,1207.459471,
11/7/2011,2.989247156,1126.127306,
11/8/2011,3.090024908,2810.514463,
11/9/2011,3.041476768,1302.541503,
11/10/2011,2.986351741,2862.524752,
11/11/2011,2.959559668,2266.948807,
11/12/2011,3.035952337,2081.323099,
11/13/2011,2.9706944,1106.721074,
11/14/2011,2.536350282,1267.523569,
11/15/2011,2.47103576,1099.056731,
